SongID,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_emb_1,genre_emb_2,genre_emb_3,genre_emb_4,genre_emb_5,genre_emb_6,genre_emb_7,genre_emb_8,genre_emb_9,genre_emb_10,genre_emb_11,genre_emb_12,genre_emb_13,genre_emb_14,genre_emb_15,genre_emb_16,first_week,last_week,peak_position,weeks_on_chart,hit
Think It OverThe Crickets,106960.0,0,0.6159999999999999,0.568,9.0,-13.018,1.0,0.044,0.753,0.0,0.0763,0.822,130.862,4.0,-0.629751,-0.7538882,-0.017911172,0.13448393,0.9239796,0.09649952,0.2851569,-0.020060431,-0.22674747,-0.34477395,-0.41048938,0.52890366,0.30706388,-0.4874661,0.25651675,-0.39225686,1958-08-02,1958-09-13,27,7,0
Little MaryFats Domino,119160.0,0,0.677,0.569,5.0,-11.061,1.0,0.0354,0.261,0.0,0.35,0.904,151.973,4.0,0.13195296,-0.5242261,-0.4851861,-0.050271012,-0.210237,-0.44436997,-0.27132082,-0.767888,0.115803406,-0.6599788,-0.118373655,0.49948055,0.17347799,0.03154272,0.07659268,-0.19211395,1958-08-02,1958-08-09,72,2,0
Young And Warm And WonderfulTony Bennett,156933.0,0,0.278,0.386,3.0,-10.112,1.0,0.0309,0.8609999999999999,0.00013,0.1179999999999999,0.195,93.07,4.0,0.24848346,-0.39248672,0.046022702,1.2207278,-0.24560599,0.07232607,0.075598516,-0.7891841,-0.28541097,0.25697508,-0.07663057,-0.55123633,0.2042741,-0.8535177,-0.486207,-0.3387216,1958-08-02,1958-08-09,59,2,0
Poor Little FoolRicky Nelson,153933.0,0,0.4739999999999999,0.338,0.0,-11.528,1.0,0.0299,0.648,0.0,0.13,0.81,154.596,4.0,0.35176188,-0.31039938,-0.5775238,0.65203094,-0.20807362,-0.5705977,0.023824483,-0.47990498,0.1879641,-0.18202385,0.05360024,0.36626086,0.60904753,-0.23189935,0.029449547,0.08016735,1958-08-02,1958-10-11,1,11,0
Betty Lou Got A New Pair Of ShoesBobby Freeman,149200.0,0,0.4269999999999999,0.6169999999999999,2.0,-13.57,1.0,0.0475,0.217,0.0,0.151,0.926,165.836,4.0,-0.76588315,-0.6557995,-0.28307658,-0.050097972,1.1957016,0.16649081,0.2081641,0.26919398,-0.7768871,-0.26606914,-0.3343703,0.779695,0.2779439,-0.036882654,-0.3607981,-0.65493965,1958-08-02,1958-09-27,37,9,0
Win Your Love For MeSam Cooke,167773.0,0,0.688,0.668,7.0,-8.955,1.0,0.0317,0.766,1e-06,0.137,0.893,134.042,4.0,0.40799198,-0.25928015,-0.088114455,0.067491785,0.4277176,-0.18455128,-0.46299154,-0.20096143,-0.40803877,0.086667396,-0.793728,0.81701577,0.08163688,-0.33933493,0.032467343,-0.23526362,1958-08-02,1958-11-22,33,17,0
Return To MeDean Martin,144800.0,0,0.267,0.2049999999999999,2.0,-13.75,1.0,0.0348,0.966,0.00203,0.113,0.1779999999999999,88.584,4.0,0.3656875,-0.11252711,-0.23825003,0.8090256,-0.13842818,-0.09268276,-0.96892565,-0.8451697,-0.0098929005,0.19876319,0.20889358,-0.42997396,1.0619019,-0.88912445,-0.47613147,-0.70217985,1958-08-02,1958-08-23,48,4,0
Rock-in RobinBobby Day,160080.0,0,0.541,0.6079999999999999,7.0,-13.083,1.0,0.106,0.2979999999999999,0.0,0.234,0.938,171.992,4.0,-0.76588315,-0.6557995,-0.28307658,-0.050097972,1.1957016,0.16649081,0.2081641,0.26919398,-0.7768871,-0.26606914,-0.3343703,0.779695,0.2779439,-0.036882654,-0.3607981,-0.65493965,1958-08-02,1958-12-20,2,21,1
To Be LovedJackie Wilson,154173.0,0,0.2419999999999999,0.436,5.0,-7.527999999999999,1.0,0.0367,0.658,0.0,0.324,0.3449999999999999,69.182,4.0,0.44894084,-0.097530134,-0.11490951,0.13644382,0.10125605,-0.033158757,0.16554335,-0.62888396,-0.18942353,-0.03908386,-0.416149,0.02932622,0.016366959,0.009435725,-0.16309182,-0.48954767,1958-08-02,1958-08-02,86,1,0
Yakety YakThe Coasters,113040.0,0,0.7149999999999999,0.669,7.0,-9.491,1.0,0.128,0.7049999999999998,0.000732,0.044,0.976,120.789,4.0,0.3921821,0.23799595,-0.6175473,0.40617147,0.003585273,-0.28366074,0.7338715,-0.3762482,-0.27424088,-0.56197107,0.19772418,0.3134926,0.46399125,0.1379993,-0.098088026,-0.18279633,1958-08-02,1958-09-13,7,7,0
