index,SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity
11778,I'll Keep Holding OnThe Marvelettes,The Marvelettes,I'll Keep Holding On,"['brill building pop', 'classic girl group', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'soul', 'southern soul']",42wmL3XqWPyn9C5clU7VMc,,146666.0,False,Deliver: The Singles 1961-1971,0.565,0.7239999999999999,8.0,-7.715,1.0,0.037,0.2039999999999999,0.0,0.515,0.8549999999999999,129.428,4.0,20.0
11779,I'll Keep You SatisfiedBilly J. Kramer With The Dakotas,Billy J. Kramer With The Dakotas,I'll Keep You Satisfied,,,,,,,,,,,,,,,,,,,
11780,I'll Kill YouSummer Walker Featuring Jhene Aiko,Summer Walker Featuring Jhene Aiko,I'll Kill You,"['alternative r&b', 'pop', 'pop rap']",7EkiMl81fUHVwpItgtzI4r,,179973.0,True,Over It,0.679,0.443,10.0,-8.528,0.0,0.153,0.4269999999999999,0.0,0.106,0.3629999999999999,104.049,4.0,75.0
11781,I'll Know Her When I See HerCooper Brothers Band,Cooper Brothers Band,I'll Know Her When I See Her,,,,,,,,,,,,,,,,,,,
11782,I'll Love You ForeverThe Holidays,The Holidays,I'll Love You Forever,['australian indie'],,,,,,,,,,,,,,,,,,
11783,I'll Make All Your Dreams Come TrueRonnie Dove,Ronnie Dove,I'll Make All Your Dreams Come True,['deep adult standards'],5cQJMxRQuYI9tVMKzmoBhu,https://p.scdn.co/mp3-preview/5a7732797d4be0563147e57ce20a099135b3d0ba?cid=b8d3901151d34489a160e3cf0ab1fa94,160360.0,False,The Complete Original Chart Hits 1964-1969,0.4849999999999999,0.4209999999999999,4.0,-10.408,1.0,0.0336,0.8289999999999998,2e-06,0.121,0.3529999999999999,122.665,3.0,7.0
11784,I'll Make Him Love MeBarbara Lewis,Barbara Lewis,I'll Make Him Love Me,"['brill building pop', 'classic soul', 'motown', 'rhythm and blues']",0MbawDKcfL98znAym9cFVj,https://p.scdn.co/mp3-preview/30c69ff4062e6a71acdc5cd2e6f517cfd8df56d5?cid=b8d3901151d34489a160e3cf0ab1fa94,139813.0,False,Working On A Groovy Thing,0.446,0.442,0.0,-14.052,1.0,0.0399,0.7109999999999999,0.0,0.7329999999999999,0.7259999999999999,128.784,4.0,11.0
11785,I'll Make It All Up To YouJerry Lee Lewis And His Pumping Piano,Jerry Lee Lewis And His Pumping Piano,I'll Make It All Up To You,[],,,,,,,,,,,,,,,,,,
11786,I'll Make It AlrightThe Valentinos (The Lovers),The Valentinos (The Lovers),I'll Make It Alright,,,,,,,,,,,,,,,,,,,
11787,I'll Make Love To YouBoyz II Men,Boyz II Men,I'll Make Love To You,"['boy band', 'new jack swing', 'pop', 'quiet storm', 'r&b', 'urban contemporary']",61sQYdFNS6sEBYCyr1q5gn,,236773.0,False,II,0.557,0.509,2.0,-7.928,1.0,0.0243,0.1189999999999999,0.0,0.0794,0.2439999999999999,142.408,3.0,65.0
11788,I'll Make You MineBobby Vee With The Eligibles,Bobby Vee With The Eligibles,I'll Make You Mine,,,,,,,,,,,,,,,,,,,
11789,I'll Make You MusicBeverly Bremers,Beverly Bremers,I'll Make You Music,[],1R2kT6eq0aXfipWc8W18Vl,https://p.scdn.co/mp3-preview/ebd7cac21267e7cd2c92b3ecf10128e7fadf9c8d?cid=b8d3901151d34489a160e3cf0ab1fa94,180678.0,False,I'll Make You Music,0.517,0.5759999999999998,4.0,-11.915,1.0,0.0331,0.4779999999999999,0.0,0.2909999999999999,0.7059999999999998,122.366,4.0,2.0
